system,topic_id,status,candidate_chars,reference_chars,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
flowernet_no_vc_direct,fw24_007,ok,7211,24002,0.05042016806722689,0.0028037383177570096,0.03548085901027078,0.7792245149612427,0.785460352897644,0.7823299765586853
flowernet_no_vc_budget20,fw24_007,ok,6439,24002,0.05250596658711217,0.004777830864787386,0.031503579952267304,0.7796622514724731,0.7849507331848145,0.7822975516319275
flowernet_no_vc_direct,fw24_008,ok,6633,18338,0.052956751985878195,0.0020253164556962027,0.0353045013239188,0.7826666831970215,0.7917340397834778,0.7871742844581604
flowernet_no_vc_budget20,fw24_008,ok,6579,18338,0.05254237288135594,0.0009891196834817012,0.03728813559322034,0.7843104004859924,0.7901316285133362,0.7872102856636047
flowernet_no_vc_direct,fw24_009,ok,6921,36004,0.018357487922705314,0.001004016064257028,0.013039117352056168,0.7873080968856812,0.8004531860351562,0.7938262224197388
flowernet_no_vc_budget20,fw24_009,ok,6802,36004,0.019166267369429803,0.0,0.012458073790129372,0.7895300984382629,0.8019677400588989,0.7957003116607666
flowernet_no_vc_direct,fw24_010,ok,6821,36004,0.05050952591936198,0.006208425720620842,0.034559149313247675,0.7853845357894897,0.7952726483345032,0.7902976870536804
flowernet_no_vc_budget20,fw24_010,ok,6448,36004,0.03974706413730804,0.0054249547920434,0.022583559168925023,0.7836504578590393,0.7934011220932007,0.7884956002235413
flowernet_no_vc_direct,edu_001,ok,6404,4447,0.07725321888412016,0.008247422680412371,0.06437768240343349,0.7887817621231079,0.7982847094535828,0.7935047745704651
flowernet_no_vc_budget20,edu_001,ok,6515,4447,0.05353728489483747,0.007380073800738008,0.04588910133843212,0.7912591099739075,0.8002407550811768,0.795724630355835
flowernet_no_vc_direct,edu_002,ok,6515,1849,0.028735632183908042,0.011560693641618497,0.028735632183908042,0.7785719633102417,0.7952703237533569,0.7868325710296631
flowernet_no_vc_budget20,edu_002,ok,6374,1849,0.018518518518518517,0.012422360248447204,0.018518518518518517,0.7805445790290833,0.802458643913269,0.7913498878479004
flowernet_no_vc_direct,edu_003,ok,6969,2880,0.05025125628140704,0.0,0.035175879396984924,0.7895442843437195,0.7996196150779724,0.7945500016212463
flowernet_no_vc_budget20,edu_003,ok,7093,2880,0.0815347721822542,0.0,0.05755395683453237,0.7898389101028442,0.800391674041748,0.795080304145813
flowernet_no_vc_direct,edu_004,ok,6985,2582,0.08133971291866028,0.005434782608695652,0.06698564593301436,0.7908709049224854,0.8034754991531372,0.7971234321594238
flowernet_no_vc_budget20,edu_004,ok,6186,2582,0.09549071618037135,0.006116207951070337,0.07957559681697612,0.7952176928520203,0.8071993589401245,0.8011637926101685
flowernet_no_vc_direct,edu_005,ok,6859,3611,0.06307977736549165,0.0148975791433892,0.04793028322440088,0.7913739681243896,0.798492431640625,0.7949172854423523
flowernet_no_vc_budget20,edu_005,ok,7029,3611,0.04814814814814815,0.011152416356877323,0.033333333333333326,0.792336642742157,0.798883855342865,0.7955967783927917
